Plot,Scientific_name,Elevation,Genus,Species,Species_acronimum,N.TREE,WD_g_cm3,Ht2019_m,Sum_BA_2019.m2.,Mean.LBT_mm,Mean.LA_cm2,Mean.SLA_cm2_g,Mean.LDMC_mg_g,Mean.N.por,Mean.P.por,Mean.P.mg.g,Mean.K.mg.g,Mean.Ca.mg.g,Mean.Mg.mg.g,Mean.Fe.mg.g,Mean.Na.mg.g,Mean.Al.mg.g,Mean.Cu.mg.g,Mean.Pb.mg.g,Mean.Mn.mg.g,Mean.As.mg.g
CEDR_03,Meriania tomentosa,2212,Meriania,tomentosa,MERTOM,3,0.49,10.83917123,0.078147118,0.33423051,64.93942631,208.9185364,123.5756201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Miconia clathrantha,2212,Miconia,clathrantha,MICCLA,1,0.629222222,NA,0.319253359,0.2365,49.06633333,179.5469167,180.7124832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Miconia theaezans,2212,Miconia,theaezans,MICTHE,3,0.629222222,9.989195538,0.065176266,0.21641453,35.38112607,245.7466303,196.5596002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Morus insignis,2212,Morus,insignis,MORINS,3,0.591486111,12.78620621,0.787792843,0.290605617,255.6342195,196.2218748,169.6941152,2.988333334,0.083817167,0.838171667,9.575272335,7.9210965,3.0870635,0.085751167,0.076036833,0.030752833,0.005829333,0.0044925,0.205906667,0.000653
CEDR_03,Nectandra subbullata,2212,Nectandra,subbullata,NECSUB,3,0.562449275,15.61030775,1.250437915,0.236461538,207.3694102,121.4782057,300.0398085,3.503333333,0.0489409,0.489409,5.309852,11.692809,2.257117667,0.080986333,0.106539,0.277456,0.020288,0.002943333,0.112913,NA
CEDR_03,Palicourea amethystina,2212,Palicourea,amethystina,PALAME,3,0.55,14.5612999,0.278744092,0.268040598,61.43221367,241.9508505,152.5573753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Palicourea andrei,2212,Palicourea,andrei,PALAND,4,0.55,13.63903674,0.113462546,0.300712393,109.5071158,322.6552237,130.6135439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEDR_03,Weinmannia balbisiana,2212,Weinmannia,balbisiana,WEIBAL,3,0.611854167,10.65361351,0.238820732,0.25197619,31.76461539,194.49,271.3116895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTI_01,Aegiphila cf.lopez-palacii var. pubescens,1879,Aegiphila,cf.lopez-palacii var. pubescens,AEGLOP,2,0.656666667,19.02887079,0.131894269,0.271785715,276.6198661,223.762625,132.1112152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTI_01,Cecropia bullata,1879,Cecropia,bullata,CECBUL,2,0.339835034,20.8140044,0.17125607,0.519421429,2048.840522,112.2349715,201.5754239,2.079945685,0.1118874,1.118874,21.57934625,8.97687625,2.1657425,0.10151825,0.0892305,0.07710825,0.0059245,0.0013335,0.02413925,-0.00059
INTI_01,Cinchona pubescens,1879,Cinchona,pubescens,CINPUB,3,0.54,16.26252091,0.397462522,0.249851852,444.6659722,299.8435,98.01875558,3.268552856,0.167003533,1.670035333,17.38760983,4.136159333,1.590822667,0.13023,0.1158875,0.205509667,0.016106,-0.000177333,0.034238,0.000286167
INTI_01,Cordia 1inECPI_INTI_01,1879,Cordia,1inECPI_INTI_01,CORIND,3,0.542470421,12.78130828,0.618326697,0.330472528,92.18367947,128.5249338,144.5831917,2.021339524,0.097998417,0.979984167,17.85211017,20.31930367,3.840337833,0.0664375,0.11059,0.140246,0.010803667,-0.000876167,0.037346333,-0.000456333
INTI_01,Critoniopsis occidentalis,1879,Critoniopsis,occidentalis,CRIOCC,3,0.419776738,12.88186505,0.184914144,0.158282051,211.3049487,479.1604615,190.8294977,2.689161502,0.127250967,1.272509667,25.8785645,10.79997383,3.504184333,0.148245,0.091640833,0.105356833,0.011905,0.000281333,0.0628065,-0.000226667
INTI_01,Dendropanax macrophyllus,1879,Dendropanax,macrophyllus,DENMAC,3,0.419833333,18.75268924,0.472819119,0.290424242,189.0579464,119.6818135,224.7919058,2.265045227,0.144596,1.44596,28.72092767,17.29787383,3.905095167,0.083306667,0.111423333,0.072155833,0.009425167,-0.000549,0.0635885,-0.000270667
INTI_01,Elaeagia utilis,1879,Elaeagia,utilis,ELAUTI,3,0.419776738,8.732382314,0.343054063,0.248554843,421.1766332,150.6323348,215.8787646,1.809919952,0.104613417,1.046134167,16.0253295,5.493092667,1.874218167,0.1105645,0.0889575,0.170293833,0.007818833,0.000839833,0.043269667,-0.000374333
INTI_01,Hedyosmum cuatrecazanum,1879,Hedyosmum,cuatrecazanum,HEDCUA,1,0.45,13.97926078,0.155549676,0.453583333,42.8155,238.0493333,107.5320727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTI_01,Inga alatocarpa,1879,Inga,alatocarpa,INGALA,3,0.578086944,17.79385483,0.775690641,0.311410714,95.83332051,109.3693387,302.5056512,2.467309762,0.119363483,1.193634833,9.080996,7.858548,0.882866833,0.081417833,0.059550667,0.046067,0.013616167,0.0010035,0.038657,-0.0003005
INTI_01,Meriania maxima,1879,Meriania,maxima,MERMAX,1,0.49,10.1021543,0.096062835,0.250692308,203.9978462,142.3263077,244.7370099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTI_01,Miconia clathrantha,1879,Miconia,clathrantha,MICCLA,1,0.629222222,18.58812287,0.05473911,0.304076923,111.3358462,86.61969231,344.2215995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTI_01,Morus insignis,1879,Morus,insignis,MORINS,3,0.591486111,16.3983941,0.479450236,0.325333333,383.7216154,362.4087692,197.3643857,2.633724177,0.153240967,1.532409667,25.44146983,22.18906417,2.873921333,0.0561225,0.074773167,0.031105167,0.003903167,0.000533833,0.067632333,-7.63E-05
INTI_01,Nectandra subbullata,1879,Nectandra,subbullata,NECSUB,3,0.562449275,13.8436143,1.343760496,0.214923077,189.1415812,107.7382201,310.5738066,2.720501342,0.095197867,0.951978667,7.963709167,5.117730833,1.332691833,0.041970333,0.091524833,0.171957167,0.012774,0.001293167,0.015595,-0.000646833
INTI_01,Ocotea pichinchensis,1879,Ocotea,pichinchensis,OCOPIC,3,0.539081638,20.12580085,1.992644676,0.207564102,105.3203333,169.627641,279.0780261,2.409065926,0.153977167,1.539771667,14.06489417,3.035542,1.055040333,0.043818833,1.27314,0.630638667,0.012670833,-0.004484,0.015012167,-0.000187
INTI_01,Palicourea demissa,1879,Palicourea,demissa,PALDEM,1,0.55,7.794710327,0.037044876,0.226333333,104.3318889,454.6225556,125.1407357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTI_01,Pittoniotis rotata,1879,Pittoniotis,rotata,PITROT,2,0.419776738,20.12890019,0.156176425,0.238076923,17.89680769,274.4505755,240.4103111,1.276666667,0.458656786,6.879851782,47.6947535,74.08869225,9.9970225,0.559868,0.94776825,36.96914,0.04892925,0.0009935,0.7144405,NA
INTI_01,Sapium laurifolium,1879,Sapium,laurifolium,SAPLAU,3,0.419269608,10.10590273,0.333224021,0.257186813,155.0831795,131.9857692,230.9374117,2.091029952,0.155605617,1.556056167,15.0785395,19.80812133,3.179477833,0.054608833,0.095246667,0.035667833,0.005726833,-9.90E-05,0.036321333,9.48E-05
INTI_01,Saurauia pseudostrigillosa,1879,Saurauia,pseudostrigillosa,SAUPSE,3,0.4106,16.00017939,0.163460992,0.291300699,398.1268578,147.5041725,163.2833216,2.244080825,0.161976483,1.619764833,22.7000945,16.89658767,2.9435395,0.114492667,0.088688667,0.252596,0.010073667,-0.000817333,0.022838333,-0.000147167
INTI_01,Symplocos fuliginosa,1879,Symplocos,fuliginosa,SYMFUL,1,0.533541667,27.71696228,0.346364517,0.350461538,163.8343846,81.31292308,288.8132339,1.694142109,0.06844705,0.6844705,11.9237395,9.6899155,1.5156475,0.053657,0.057423,3.3692215,0.005724,0.001449,0.038338,-0.0011935
INTI_01,Tovomita croatii,1879,Tovomita,croatii,TOVCRO,3,0.695,8.476410161,0.06855662,0.27574359,373.5974103,180.8386923,159.8879176,1.769922596,0.072470833,0.724708333,5.653961667,12.388485,2.0849485,0.080090667,0.098682333,0.160657667,0.0083895,0.000469833,0.268306333,-3.33E-05
INTI_02,Aegiphila cf.lopez-palacii var. pubescens,1829,Aegiphila,cf.lopez-palacii var. pubescens,AEGLOP,3,0.656666667,13.12801099,0.078587726,0.268818881,271.5568088,384.4513708,84.75683419,1.314444444,0.200085218,2.000852177,33.44086756,19.03979478,4.122037222,0.240248889,0.272790445,0.580226111,0.023840889,0.001463667,0.080490889,0.001328333
