Plot,Scientific_name,Scientific_name_plot,Ht2019,LA,SLA,BA,RC_BA
CEDR_03,Guarea_kunthiana,Guarea_kunthiana_CEDR_03,11.60465671,301.1680436,88.57978975,0.047147452,0.21713464
MALO_01,Guarea_kunthiana,Guarea_kunthiana_MALO_01,6.07557829,239.0195128,175.5652509,0.414718505,0.643986417
MALO_02,Guarea_kunthiana,Guarea_kunthiana_MALO_02,28,189.6608226,258.0044295,0.258769845,0.508694255
RIBR_01,Guarea_kunthiana,Guarea_kunthiana_RIBR_01,7.136271204,239.6149161,107.1840117,0.030760904,0.175387867
MALO_01,Guatteria_pichinchae,Guatteria_pichinchae_MALO_01,32.72991251,167.8346364,130.8425455,0.200296167,0.447544598
MALO_02,Gustavia_cf_johnclarkii,Gustavia_cf_johnclarkii_MALO_02,14.46161406,158.020917,157.6590266,0.156717564,0.395875693
MAPI_01,Handroanthus_chrysanthus,Handroanthus_chrysanthus_MAPI_01,16.78320826,150.4174615,330.3159733,0.295924676,0.543989592
RIBR_01,Hedyosmum_anisodorum,Hedyosmum_anisodorum_RIBR_01,9.222867445,85.20802565,173.7150576,0.444121457,0.666424382
VERD_02,Hedyosmum_anisodorum,Hedyosmum_anisodorum_VERD_02,10.12137696,65.60510257,175.7237692,0.257911404,0.507849785
BECL_01,Hedyosmum_cuatrecazanum,Hedyosmum_cuatrecazanum_BECL_01,10.39817736,51.79144375,162.3055796,0.026939942,0.164133915
CEDR_01,Hedyosmum_cuatrecazanum,Hedyosmum_cuatrecazanum_CEDR_01,16.43625555,38.26347436,159.4039188,0.234238719,0.483982147
INTI_01,Hedyosmum_cuatrecazanum,Hedyosmum_cuatrecazanum_INTI_01,13.97926078,42.8155,238.0493333,0.155549676,0.394397865
INTI_02,Hedyosmum_cuatrecazanum,Hedyosmum_cuatrecazanum_INTI_02,19.71800893,73.81341026,229.2981646,0.127725376,0.357386872
RIBR_01,Hedyosmum_cuatrecazanum,Hedyosmum_cuatrecazanum_RIBR_01,17.84463836,80.39192521,174.8412128,0.497683253,0.705466692
VERD_01,Hedyosmum_cumbalense,Hedyosmum_cumbalense_VERD_01,15.97420616,20.94649883,182.1557614,0.22265174,0.471859873
YANA_01,Hedyosmum_cumbalense,Hedyosmum_cumbalense_YANA_01,10.82230345,10.18492308,184.6512679,0.204044087,0.451712394
MIND_01,Hedyosmum_goudotianum_var_goudotianum,Hedyosmum_goudotianum_var_goudotianum_MIND_01,12.0550091,43.68705128,132.2211282,0.378744126,0.615421909
RIBR_01,Hedyosmum_goudotianum_var_goudotianum,Hedyosmum_goudotianum_var_goudotianum_RIBR_01,8.172852002,79.18607692,122.8376667,0.158538116,0.398168452
VERD_01,Hedyosmum_luteynii,Hedyosmum_luteynii_VERD_01,8.240800026,31.47526282,170.3642333,1.300620934,1.14044769
VERD_02,Hedyosmum_luteynii,Hedyosmum_luteynii_VERD_02,12.74106118,41.01148718,182.7237351,0.847509807,0.920602958
VERD_03,Hedyosmum_luteynii,Hedyosmum_luteynii_VERD_03,11.43877806,36.86692308,135.4502525,3.077193933,1.754193243
MIND_01,Heisteria_asplundii,Heisteria_asplundii_MIND_01,13.55505042,112.0689637,142.3355986,0.3374958,0.580943887
MALO_01,Helicostylis_tovarensis,Helicostylis_tovarensis_MALO_01,18.76506178,82.11615385,396.3350501,0.090582327,0.30096898
